Dish_Name,Ingredients,Keywords,Calories,Protein,Fiber
Sabudana Khichdi ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",459.78,11.21,7.58
Handvo ,"vegetables, spices, rice","vegetables, spices, rice",404.36,20.77,8.33
Medu Vada ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",294.43,15.8,2.36
Khandvi ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",589.06,11.07,6.71
Mutton Rogan Josh ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",556.87,25.82,1.88
Bhindi Masala ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",362.91,21.94,7.3
Dhokla ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",529.11,11.14,9.64
Palak Paneer ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",485.73,6.04,5.07
Pesarattu ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",416.32,7.95,7.35
Dosa ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",428.1,13.8,6.06
Paneer Butter Masala ,"lentils, spices, rice flour","lentils, spices, rice flour",200.37,22.93,6.06
Paneer Butter Masala ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",174.31,19.77,6.36
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",150.05,16.53,9.77
Sabudana Khichdi ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",277.82,26.47,4.37
Mutton Rogan Josh ,"cabbage, gram flour, spices","cabbage, spices, gram flour",339.3,20.42,1.54
Rajma Chawal ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",190.74,23.22,5.86
Tandoori Chicken ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",579.65,14.37,8.42
Sabudana Khichdi ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",487.01,19.53,5.4
Baingan Bharta ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",543.15,18.56,4.03
Khandvi ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",169.17,21.66,3.79
Chole Bhature ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",597.33,6.94,4.89
Thepla ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",331.51,11.6,6.44
Kadai Paneer ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",389.93,17.1,4.66
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",162.06,9.04,4.91
Pesarattu ,"urad dal, rice flour, spices","urad dal, spices, rice flour",255.88,5.4,4.67
Dhokla ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",478.76,6.66,5.39
Masoor Dal ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",585.21,24.89,8.83
Vegetable Biryani ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",335.81,29.05,1.86
Poha ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",474.63,26.82,3.75
Paneer Butter Masala ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",485.1,20.21,7.93
Vegetable Biryani ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",283.14,18.3,3.31
Chole Bhature ,"gram flour, spices, yogurt","yogurt, spices, gram flour",198.15,21.95,5.68
Thepla ,"gram flour, spices, yogurt","yogurt, spices, gram flour",206.97,22.63,8.75
Samosa ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",287.88,11.17,5.87
Misal Pav ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",207.19,19.1,7.33
Mutton Rogan Josh ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",180.76,27.53,3.42
Misal Pav ,"vegetables, spices, rice","vegetables, spices, rice",220.72,29.2,6.11
Dosa ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",152.66,5.47,3.54
Baingan Bharta ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",355.25,15.39,8.93
Khandvi ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",191.4,8.57,7.72
Mutton Rogan Josh ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",278.85,27.6,1.51
Pani Puri ,"green gram, spices, ginger","green gram, spices, ginger",515.58,22.59,2.63
Idli ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",175.78,14.24,3.11
Masoor Dal ,"vegetables, spices, rice","vegetables, spices, rice",405.31,11.09,2.11
Palak Paneer ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",247.41,14.87,5.87
Tandoori Chicken ,"okra, onion, spices, oil","onion, oil, spices, okra",294.82,15.95,3.33
Sev Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",276.98,19.26,1.73
Palak Paneer ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",167.67,5.77,6.44
Masoor Dal ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",348.26,11.7,8.45
Idli ,"rice, lentils, vegetables","vegetables, lentils, rice",489.94,19.88,1.88
Khandvi ,"green gram, spices, ginger","green gram, spices, ginger",280.33,9.46,1.15
Khandvi ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",383.43,27.54,6.33
Baingan Bharta ,"rice, lentils, vegetables","vegetables, lentils, rice",294.65,16.26,2.07
Vada ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",401.01,25.6,8.39
Palak Paneer ,"lentils, spices, rice flour","lentils, spices, rice flour",177.11,22.88,5.1
Dosa ,"vegetables, spices, rice","vegetables, spices, rice",490.41,14.24,8.73
Handvo ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",475.1,28.18,6.44
Medu Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",346.19,10.85,4.2
Poha ,"cabbage, gram flour, spices","cabbage, spices, gram flour",563.27,25.17,7.04
Khichdi ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",323.57,6.12,3.11
Idli ,"cabbage, gram flour, spices","cabbage, spices, gram flour",169.48,28.04,5.18
Vada ,"urad dal, rice flour, spices","urad dal, spices, rice flour",238.54,9.87,9.09
Bhel Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",228.56,10.45,6.24
Upma ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",486.7,23.16,5.92
Handvo ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",296.12,26.18,4.66
Khichdi ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",412.37,5.31,7.22
Upma ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",207.52,14.54,2.36
Upma ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",378.02,26.3,4.88
Baingan Bharta ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",238.61,24.24,2.98
Chicken Curry ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",327.72,11.49,3.42
Bhel Puri ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",598.92,26.23,8.57
Sabudana Khichdi ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",159.92,25.71,2.78
Poha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",162.8,14.17,3.7
Kadai Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",443.76,8.31,5.65
Samosa ,"okra, onion, spices, oil","onion, oil, spices, okra",150.23,10,6.78
Pesarattu ,"gram flour, spices, yogurt","yogurt, spices, gram flour",252.47,25.65,1.53
Misal Pav ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",252.49,23.54,9.79
Handvo ,"okra, onion, spices, oil","onion, oil, spices, okra",303.23,26.54,1.09
Paneer Butter Masala ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",413.28,7.06,1.43
Pesarattu ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",349.63,5.97,6.01
Masoor Dal ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",332.17,16.14,1.82
Paneer Butter Masala ,"okra, onion, spices, oil","onion, oil, spices, okra",508.15,29.75,3.78
Sabudana Khichdi ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",561.13,18.51,6.46
Bhel Puri ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",437.44,11.69,3.46
Chicken Curry ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",273.33,27.07,2.92
Undhiyu ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",251.88,24.75,6.28
Pesarattu ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",494.86,28.4,5.49
Paneer Butter Masala ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",369.26,9.18,6.26
Chole Bhature ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",585.56,7.11,3.19
Idli ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",244.14,29.32,3.94
Dhokla ,"okra, onion, spices, oil","onion, oil, spices, okra",405.08,6.22,9.32
Upma ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",541.02,24.43,6.06
Bhindi Masala ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",360.61,24.81,4.33
Bhel Puri ,"green gram, spices, ginger","green gram, spices, ginger",590.46,21.39,4.54
Baingan Bharta ,"gram flour, spices, yogurt","yogurt, spices, gram flour",428.22,29.02,3.51
Palak Paneer ,"urad dal, rice flour, spices","urad dal, spices, rice flour",276.31,27.24,5.2
Vegetable Biryani ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",287.25,27.66,8.43
Palak Paneer ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",489.99,17.6,7.95
Chicken Curry ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",384.47,10.27,5.46
Pani Puri ,"rice, lentils, vegetables","vegetables, lentils, rice",591.07,14.01,8.62
Khandvi ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",342.3,29.32,9.31
Poha ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",303.61,19.11,2.14
Baingan Bharta ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",591.75,14.34,8.03
Khichdi ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",582.41,14.14,1.45
Khandvi ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",258.83,13.8,7.36
Khichdi ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",393.58,23.68,4.1
Bhel Puri ,"mutton, spices, yogurt, onion","mutton, yogurt, spices, onion",168.07,18.06,9.33
Thepla ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",376.49,17.3,4.69
Vegetable Biryani ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",281.68,13.2,1.69
Khandvi ,"okra, onion, spices, oil","onion, oil, spices, okra",564.78,17.97,2.54
Poha ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",358.49,17.82,3.21
Kadai Paneer ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",355.5,24.2,4.44
Khichdi ,"vegetables, spices, rice","vegetables, spices, rice",176.82,12.45,4.93
Kadai Paneer ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",340.04,18.43,8.41
Palak Paneer ,"green gram, spices, ginger","green gram, spices, ginger",323.86,19.43,2.66
Idli ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",481.3,10.45,8.73
Dhokla ,"gram flour, yogurt, mustard seeds","mustard seeds, yogurt, gram flour",190.57,26.22,9.97
Paneer Butter Masala ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",535.66,14.05,2.91
Mutton Rogan Josh ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",210.65,16.81,1.78
Dhokla ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",195.64,9.72,8.21
Mutton Rogan Josh ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",311.5,7.06,4.34
Paneer Butter Masala ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",388.44,15.57,2.95
Palak Paneer ,"gram flour, spices, yogurt","yogurt, spices, gram flour",557.18,18.42,7.87
Bhel Puri ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",150.86,14.12,5.4
Aloo Paratha ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",250.8,25.32,6.68
Chicken Curry ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",517.02,21.78,4.36
Pav Bhaji ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",211.74,14.84,2.14
Idli ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",250.97,25.79,6.53
Handvo ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",395.01,23.05,7.88
Samosa ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",216.41,15.87,1.2
Idli ,"vegetables, spices, rice","vegetables, spices, rice",556.01,12.93,5.7
Misal Pav ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",358.85,5.41,2.91
Paneer Butter Masala ,"chickpeas, flour, oil, spices","chickpeas, flour, oil, spices",284.84,22.12,8.44
Bhel Puri ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",507.91,20.74,2.13
Vegetable Biryani ,"lentils, onion, tomato, turmeric","tomato, lentils, turmeric, onion",290.51,10.53,7.71
Mutton Rogan Josh ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",323.7,23.24,6.56
Paneer Butter Masala ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",253.79,13.81,3.86
Tandoori Chicken ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",488.83,16.3,3.55
Kadai Paneer ,"okra, onion, spices, oil","onion, oil, spices, okra",578.45,29.27,6.88
Bhel Puri ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",420.32,12.49,2.11
Pani Puri ,"sprouts, onion, farsan, spices","farsan, sprouts, spices, onion",329.86,13.19,2.69
Handvo ,"vegetables, potatoes, bread, butter","vegetables, bread, potatoes, butter",255.68,12.94,9.33
Tandoori Chicken ,"rice, lentils, vegetables","vegetables, lentils, rice",225.47,29.6,8.09
Misal Pav ,"urad dal, rice flour, spices","urad dal, spices, rice flour",409.27,23.58,9.57
Bhel Puri ,"tapioca, peanuts, spices","peanuts, spices, tapioca",463.65,22.61,1.59
Handvo ,"eggplant, tomato, onion, spices","tomato, spices, eggplant, onion",381.33,21.9,1.85
Sabudana Khichdi ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",330.06,9.84,3.08
Medu Vada ,"lentils, spices, rice flour","lentils, spices, rice flour",585.77,12.81,1.32
Dhokla ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",348.33,22.19,6.42
Idli ,"okra, onion, spices, oil","onion, oil, spices, okra",552.73,12.66,9.66
Pesarattu ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",246.13,18.88,4.19
Pav Bhaji ,"vegetables, spices, rice","vegetables, spices, rice",346.53,19.68,3.69
Paneer Butter Masala ,"flattened rice, onion, mustard seeds","flattened rice, mustard seeds, onion",463.42,13.3,7.13
Pav Bhaji ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",454.09,19.03,6.65
Upma ,"rice, urad dal, fenugreek","urad dal, rice, fenugreek",235,5.35,8.84
Medu Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",473.77,25.15,7.34
Medu Vada ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",259.67,24.11,1.02
Paneer Butter Masala ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",417.97,25.91,8.39
Baingan Bharta ,"okra, onion, spices, oil","onion, oil, spices, okra",534.58,13.06,9.04
Handvo ,"rice, lentils, fenugreek, salt","lentils, salt, rice, fenugreek",263.01,29.97,7.35
Rajma Chawal ,"chicken, yogurt, spices, lemon","lemon, chicken, spices, yogurt",365.4,13.44,2.52
Bhel Puri ,"tapioca, peanuts, spices","peanuts, spices, tapioca",494.43,13.44,5.39
Pav Bhaji ,"paneer, butter, cream, tomato, spices","butter, spices, cream, paneer, tomato",199.82,16.43,2.3
Paneer Butter Masala ,"wheat flour, fenugreek, spices","fenugreek, spices, wheat flour",310.11,17.22,3.41
Tandoori Chicken ,"chicken, onion, tomato, spices","tomato, chicken, spices, onion",237.44,23.43,3.87
Poha ,"kidney beans, rice, spices, onion, garlic","spices, garlic, rice, onion, kidney beans",414.84,7.56,9.68
Baingan Bharta ,"gram flour, spices, yogurt","yogurt, spices, gram flour",201.88,22.33,5.62
Dosa ,"puffed rice, sev, spices, onion","puffed rice, onion, spices, sev",401.57,20.63,1.15
Handvo ,"okra, onion, spices, oil","onion, oil, spices, okra",328.3,25.74,6.72
Baingan Bharta ,"potatoes, peas, flour, spices","flour, spices, potatoes, peas",426.94,11.93,4.37
Baingan Bharta ,"semolina, vegetables, mustard seeds","vegetables, semolina, mustard seeds",186.78,28.7,3.25
Pav Bhaji ,"paneer, capsicum, onion, tomato","tomato, capsicum, paneer, onion",475.61,10.96,4.98
Bhindi Masala ,"spinach, paneer, garlic, ginger, onion","spinach, garlic, paneer, onion, ginger",268.25,14.27,7.3
Dhokla ,"okra, onion, spices, oil","onion, oil, spices, okra",173.95,27.84,8.43
Khandvi ,"okra, onion, spices, oil","onion, oil, spices, okra",417.64,5.49,4.75
Misal Pav ,"tapioca, peanuts, spices","peanuts, spices, tapioca",309.02,16.2,9.79
Tandoori Chicken ,"potatoes, wheat flour, butter, salt","butter, salt, potatoes, wheat flour",307.14,16.08,8.22
Paneer Butter Masala ,"basmati rice, vegetables, spices, ghee","vegetables, basmati rice, spices, ghee",592.18,5.82,2.63
Sabudana Khichdi ,"green gram, spices, ginger","green gram, spices, ginger",179.77,8.71,9.98
Rajma Chawal ,"semolina, spices, mint, tamarind","mint, semolina, tamarind, spices",269.02,11.44,2.48
